"project_id","project_name","project_lead","start_date","end_date","status"
9,"AI System",2,"2024-10-08","2024-12-09","Completed"
10,"Sales Automation Phase 2",2,"2024-02-02",,"Planned"
11,"Data Platform Phase 2",4,"2025-07-28","2025-09-16","Completed"
12,"Customer Platform v2.0",8,"2024-01-07",,"On Hold"
13,"Marketing Automation",5,"2024-08-08",,"In Progress"
14,"Finance Integration",7,"2025-01-02","2025-03-31","Completed"
15,"Data Integration Pilot",8,"2025-01-22","2025-02-11","Completed"
16,"Sales Analysis v2.0",6,"2024-03-12",,"In Progress"
17,"HR Integration Beta",2,"2024-04-13",,"In Progress"
18,"Marketing Analysis v2.0",6,"2025-01-14",,"In Progress"
19,"AI System Beta",2,"2025-06-30",,"In Progress"
20,"AI Management",7,"2025-07-24",,"On Hold"
21,"Inventory Automation Phase 2",4,"2024-11-19","2025-03-01","Completed"
22,"HR Portal Phase 2",6,"2025-05-26",,"In Progress"
23,"Data Integration Pilot",5,"2024-09-09",,"In Progress"
24,"AI System Pilot",7,"2025-01-05",,"Planned"
25,"Customer System Beta",8,"2024-02-18","2024-03-17","Completed"
26,"Finance Portal Pilot",2,"2025-01-25",,"Planned"
27,"Data Integration v2.0",5,"2024-04-27","2024-10-18","Completed"
28,"Customer Portal",2,"2025-03-21",,"On Hold"
29,"Payroll Integration Pilot",5,"2025-06-03",,"In Progress"
30,"Customer Dashboard Pilot",4,"2025-01-17",,"In Progress"
31,"Payroll Management v2.0",6,"2024-01-20",,"Planned"
32,"Payroll Automation Beta",4,"2024-09-03","2025-01-26","Completed"
33,"Employee System v2.0",2,"2024-05-11",,"In Progress"
34,"AI Integration Beta",7,"2025-07-06",,"In Progress"
35,"Employee Automation Phase 2",6,"2025-06-13",,"Planned"
36,"Finance Analysis Pilot",4,"2024-12-12","2024-12-17","Completed"
37,"Sales Analysis",4,"2024-03-13","2024-08-21","Completed"
38,"Data Analysis v2.0",1,"2024-03-13",,"On Hold"
39,"Customer Portal Phase 2",8,"2025-07-06",,"In Progress"
40,"Payroll Automation Beta",8,"2024-07-13",,"Planned"
41,"Employee Dashboard",6,"2025-02-24",,"Planned"
42,"Payroll Analysis Phase 2",1,"2024-12-13",,"Planned"
43,"HR System v2.0",4,"2024-05-23",,"Planned"
44,"Employee Automation",8,"2024-03-18",,"In Progress"
45,"HR Portal Beta",1,"2024-08-30","2024-10-11","Completed"
46,"Customer Platform",4,"2024-03-01",,"Planned"
47,"Inventory Platform Pilot",7,"2025-04-10",,"On Hold"
48,"Inventory Analysis",8,"2024-07-13",,"In Progress"
49,"Sales Portal Pilot",1,"2024-02-28",,"On Hold"
50,"Customer Automation Pilot",3,"2025-06-04","2025-06-24","Completed"
51,"Payroll Analysis Pilot",2,"2025-02-17",,"In Progress"
52,"Finance Management v2.0",1,"2025-03-05","2025-08-20","Completed"
53,"Inventory Platform Phase 2",4,"2024-09-01",,"On Hold"
54,"Payroll Dashboard Beta",5,"2024-11-19",,"Planned"
55,"Data Integration Phase 2",2,"2025-07-04","2025-08-27","Completed"
56,"Inventory System Beta",6,"2024-09-07","2024-12-10","Completed"
57,"Payroll System v2.0",5,"2025-07-21","2025-10-05","Completed"
58,"Inventory Integration Pilot",2,"2025-07-20","2025-08-28","Completed"
59,"Inventory Portal v2.0",4,"2024-07-27",,"On Hold"
60,"Sales Dashboard v2.0",1,"2025-03-09","2025-05-18","Completed"
61,"Employee Platform Pilot",3,"2024-06-14",,"On Hold"
62,"Customer Dashboard v2.0",1,"2024-03-18","2024-09-10","Completed"
63,"Sales Integration v2.0",3,"2024-05-10",,"Planned"
64,"AI Automation v2.0",1,"2024-08-03",,"On Hold"
65,"Customer System Beta",7,"2024-08-30",,"In Progress"
66,"HR Analysis v2.0",1,"2024-12-06",,"In Progress"
67,"Employee Analysis Phase 2",3,"2025-01-26","2025-02-04","Completed"
68,"AI Analysis",8,"2024-11-08",,"On Hold"
69,"Inventory Automation v2.0",4,"2024-12-02",,"Planned"
70,"Marketing Dashboard",6,"2025-07-03",,"Planned"
71,"Inventory Dashboard",5,"2025-08-17",,"In Progress"
72,"HR Automation Beta",7,"2024-11-17",,"On Hold"
73,"HR Dashboard Pilot",4,"2024-02-15",,"On Hold"
74,"Payroll Management Pilot",4,"2025-03-17",,"On Hold"
75,"Inventory Platform v2.0",6,"2024-11-03","2025-03-12","Completed"
76,"Customer Analysis Beta",7,"2025-07-21",,"On Hold"
77,"Finance Integration Beta",7,"2025-09-22",,"In Progress"
78,"AI Platform Pilot",1,"2024-10-20",,"On Hold"
79,"Employee Analysis Pilot",6,"2025-03-28",,"Planned"
80,"Inventory Management",8,"2024-03-27",,"In Progress"
81,"AI System",4,"2024-08-18",,"On Hold"
82,"Finance Automation Beta",1,"2025-05-01",,"In Progress"
83,"Employee Platform Phase 2",7,"2025-01-28",,"In Progress"
84,"AI System Pilot",3,"2024-04-19","2024-08-05","Completed"
85,"Payroll Portal Phase 2",8,"2025-07-24","2025-09-25","Completed"
86,"Finance Platform Pilot",8,"2025-03-29",,"On Hold"
87,"Employee Integration Phase 2",8,"2025-05-01",,"In Progress"
88,"Inventory Portal",5,"2024-09-01",,"Planned"
89,"Marketing Management Pilot",5,"2024-10-05",,"In Progress"
90,"AI Platform Phase 2",2,"2024-06-03",,"In Progress"
91,"Marketing Portal Beta",4,"2025-02-28","2025-06-12","Completed"
92,"HR Dashboard Pilot",1,"2025-03-06",,"In Progress"
93,"Marketing Integration Beta",7,"2024-01-07",,"Planned"
94,"AI Integration Beta",7,"2025-05-14",,"In Progress"
95,"HR System Beta",8,"2025-02-02","2025-04-29","Completed"
96,"Finance Dashboard",3,"2025-02-07","2025-07-08","Completed"
97,"Customer Dashboard v2.0",7,"2025-04-17",,"In Progress"
98,"Employee Management v2.0",7,"2024-08-04",,"On Hold"
99,"Inventory Automation Beta",7,"2025-03-07",,"On Hold"
100,"Payroll Dashboard",1,"2024-12-24","2025-02-19","Completed"
101,"Finance System Phase 2",4,"2024-01-21",,"In Progress"
102,"Finance Analysis Beta",3,"2024-04-27",,"Planned"
103,"Finance Automation Phase 2",5,"2024-06-20",,"On Hold"
104,"Inventory Platform Beta",5,"2025-08-15","2025-08-21","Completed"
105,"AI Automation v2.0",4,"2025-08-29","2026-02-21","Completed"
106,"HR Management",2,"2024-12-21","2025-05-06","Completed"
107,"Payroll Platform v2.0",6,"2025-03-06","2025-07-09","Completed"
108,"Customer Integration Pilot",8,"2025-03-21",,"In Progress"
109,"Finance Integration v2.0",8,"2025-03-22",,"Planned"
110,"AI Portal Pilot",4,"2024-10-12","2025-02-04","Completed"
111,"Employee Management Phase 2",7,"2024-01-30",,"On Hold"
112,"Inventory Management v2.0",8,"2024-12-29",,"In Progress"
113,"Payroll Analysis Beta",5,"2025-06-13","2025-07-31","Completed"
114,"Employee Portal",8,"2025-05-02",,"In Progress"
115,"HR Analysis v2.0",2,"2024-08-14",,"On Hold"
116,"Data Management Beta",6,"2025-07-20",,"Planned"
117,"Inventory Integration v2.0",6,"2025-04-09",,"On Hold"
118,"Payroll System Phase 2",4,"2024-07-16","2024-10-04","Completed"
119,"Finance Integration",4,"2024-10-10",,"Planned"
120,"Marketing System v2.0",4,"2024-08-20",,"On Hold"
121,"Sales Dashboard Pilot",1,"2024-10-07",,"In Progress"
122,"Payroll Dashboard Pilot",5,"2025-05-17",,"In Progress"
123,"Employee Management Phase 2",5,"2025-05-05",,"Planned"
124,"Payroll Automation Beta",1,"2025-05-04",,"On Hold"
125,"Sales System Phase 2",8,"2025-08-13","2026-01-21","Completed"
126,"Data Platform Pilot",5,"2024-09-11","2024-10-11","Completed"
127,"Employee Integration Pilot",4,"2025-04-06",,"Planned"
128,"Finance Dashboard Pilot",7,"2025-08-05",,"On Hold"
129,"Inventory Automation Phase 2",2,"2024-08-04",,"In Progress"
130,"Payroll System",4,"2025-07-19",,"In Progress"
131,"Employee Integration",7,"2025-08-31",,"Planned"
132,"Employee Automation Phase 2",4,"2024-10-16",,"On Hold"
133,"Payroll Analysis Phase 2",5,"2025-03-11",,"In Progress"
134,"Sales System v2.0",5,"2024-03-14",,"In Progress"
135,"Employee Integration Beta",5,"2024-05-07",,"Planned"
136,"Payroll Dashboard Beta",5,"2025-03-24",,"Planned"
137,"Payroll Analysis Pilot",6,"2024-01-27",,"On Hold"
138,"Sales System Beta",1,"2025-08-13",,"On Hold"
139,"Finance Platform Beta",8,"2024-07-04",,"On Hold"
140,"HR Management v2.0",2,"2024-12-22",,"Planned"
141,"HR Portal v2.0",2,"2024-12-03",,"In Progress"
142,"Marketing Integration v2.0",7,"2025-04-10","2025-05-02","Completed"
143,"Sales Portal Beta",2,"2025-06-10",,"Planned"
144,"Marketing Portal Beta",1,"2025-06-14",,"In Progress"
145,"Data System v2.0",1,"2024-09-30",,"In Progress"
146,"Sales Analysis Phase 2",8,"2024-05-04",,"Planned"
147,"Payroll Analysis",5,"2025-07-19","2025-10-31","Completed"
148,"Inventory Integration Beta",8,"2024-06-06","2024-10-11","Completed"
149,"Employee System Beta",8,"2024-09-06",,"Planned"
150,"Inventory Platform v2.0",4,"2024-03-12",,"In Progress"
151,"Finance Portal Phase 2",5,"2024-10-16","2024-12-31","Completed"
152,"Marketing Platform Beta",8,"2024-12-19",,"Planned"
153,"Finance Platform Phase 2",6,"2024-09-01",,"In Progress"
154,"HR Platform Phase 2",7,"2024-11-21","2025-03-22","Completed"
155,"Finance Management",8,"2024-05-09","2024-09-14","Completed"
156,"Sales System Beta",8,"2025-06-22","2025-10-16","Completed"
157,"Marketing Platform",3,"2025-04-25","2025-07-01","Completed"
158,"Employee Dashboard Pilot",6,"2024-11-20",,"Planned"
159,"AI Automation Beta",2,"2024-10-21",,"In Progress"
160,"Inventory Dashboard",2,"2025-03-30","2025-05-11","Completed"
161,"Marketing Platform Phase 2",6,"2024-10-27","2025-01-26","Completed"
162,"Customer System Phase 2",4,"2025-08-02",,"Planned"
163,"AI Portal Pilot",2,"2025-09-26",,"Planned"
164,"Inventory Portal v2.0",3,"2025-04-17",,"In Progress"
165,"Data System",1,"2024-10-21",,"Planned"
166,"Inventory Platform v2.0",8,"2025-08-24",,"On Hold"
167,"HR Portal",8,"2024-07-22",,"On Hold"
168,"Marketing Integration v2.0",4,"2025-08-08",,"Planned"
169,"Sales Dashboard Pilot",1,"2024-10-08",,"Planned"
170,"Finance Management Phase 2",8,"2024-08-23",,"On Hold"
171,"Payroll Dashboard v2.0",4,"2024-05-20",,"On Hold"
172,"Customer Automation v2.0",8,"2025-08-16","2025-11-17","Completed"
173,"AI System Pilot",6,"2024-06-28",,"Planned"
174,"Inventory Portal v2.0",6,"2024-06-17",,"On Hold"
175,"Customer Analysis Beta",6,"2025-04-24","2025-05-13","Completed"
176,"Inventory Automation Beta",6,"2025-02-08","2025-02-11","Completed"
177,"HR Management",6,"2025-08-21",,"On Hold"
178,"Finance Management Pilot",4,"2024-01-26",,"Planned"
179,"Inventory Platform",4,"2025-04-20","2025-10-16","Completed"
180,"Employee Automation",3,"2024-02-08","2024-04-25","Completed"
181,"Employee Management Pilot",4,"2025-02-01",,"In Progress"
182,"Payroll Portal Pilot",7,"2025-02-28",,"In Progress"
183,"Marketing Analysis Beta",7,"2024-02-03",,"On Hold"
184,"Payroll Management Pilot",8,"2025-01-06",,"In Progress"
185,"AI Automation Beta",6,"2025-02-11","2025-04-22","Completed"
186,"Sales Dashboard v2.0",2,"2025-09-03",,"In Progress"
187,"AI Automation Pilot",4,"2025-08-01",,"In Progress"
188,"Marketing System Pilot",4,"2024-08-26",,"In Progress"
189,"Customer Integration Phase 2",1,"2024-05-28",,"On Hold"
190,"Marketing Analysis Pilot",2,"2024-05-14","2024-05-17","Completed"
191,"Sales System Beta",6,"2024-06-27","2024-09-02","Completed"
192,"Marketing Automation Beta",2,"2025-05-02","2025-08-24","Completed"
193,"Employee Dashboard",4,"2025-06-17","2025-09-02","Completed"
194,"Payroll Portal Beta",8,"2025-03-12",,"Planned"
195,"Customer Automation Phase 2",2,"2024-11-25","2025-04-29","Completed"
196,"Finance Integration Beta",5,"2025-01-25",,"On Hold"
197,"Data Analysis Beta",7,"2024-04-27","2024-10-11","Completed"
198,"Marketing Portal Beta",8,"2025-02-27",,"In Progress"
199,"Marketing Integration v2.0",7,"2024-11-16","2025-03-05","Completed"
200,"Payroll Automation",3,"2024-03-09",,"Planned"
201,"Data Dashboard Pilot",7,"2025-01-16","2025-02-18","Completed"
202,"HR Dashboard v2.0",6,"2025-02-24","2025-05-25","Completed"
203,"Finance Analysis Phase 2",5,"2024-04-16",,"On Hold"
204,"Marketing Management",8,"2024-04-20",,"In Progress"
205,"Data Dashboard Pilot",5,"2025-03-15",,"In Progress"
206,"Inventory Management v2.0",5,"2024-07-03","2024-09-10","Completed"
207,"Finance Platform",1,"2024-05-26",,"In Progress"
208,"AI Platform Beta",3,"2024-04-03","2024-08-16","Completed"
209,"Marketing Integration v2.0",8,"2024-06-10",,"On Hold"
210,"Finance Dashboard",2,"2024-06-08","2024-07-18","Completed"
211,"Employee Portal Beta",5,"2025-03-10",,"Planned"
212,"Payroll Management Beta",5,"2025-06-08",,"In Progress"
213,"Employee Integration",2,"2025-08-30",,"On Hold"
214,"Sales Dashboard Phase 2",4,"2025-09-05",,"Planned"
215,"Inventory Integration v2.0",5,"2024-05-20",,"In Progress"
216,"Customer System Beta",2,"2025-05-24","2025-09-11","Completed"
217,"HR Dashboard Beta",4,"2024-03-14",,"On Hold"
218,"Marketing Platform Pilot",1,"2024-03-20",,"Planned"
219,"Payroll Platform",7,"2024-10-23",,"Planned"
220,"Employee Management",6,"2025-09-24",,"In Progress"
221,"Finance Platform Pilot",7,"2024-09-06","2024-12-26","Completed"
222,"Marketing Analysis v2.0",2,"2024-11-13",,"Planned"
223,"Payroll Analysis v2.0",3,"2025-06-06","2025-11-15","Completed"
224,"Payroll System v2.0",6,"2024-08-29",,"In Progress"
225,"Customer Automation Phase 2",4,"2025-09-08",,"In Progress"
226,"Finance Portal Pilot",8,"2025-07-31",,"Planned"
227,"Employee Automation Beta",6,"2024-06-03",,"On Hold"
228,"Finance Dashboard v2.0",8,"2024-10-08",,"On Hold"
229,"Employee Dashboard",2,"2025-04-17",,"On Hold"
230,"Payroll Platform Beta",6,"2024-03-19",,"On Hold"
231,"AI Management Pilot",1,"2025-08-08",,"Planned"
232,"Employee Automation v2.0",8,"2024-03-04",,"In Progress"
233,"AI Portal Beta",2,"2024-02-10",,"In Progress"
234,"Inventory Platform Beta",3,"2025-01-16",,"On Hold"
235,"Marketing Automation Pilot",6,"2024-12-08","2024-12-24","Completed"
236,"Finance System v2.0",7,"2024-09-15",,"On Hold"
237,"Inventory Platform Phase 2",2,"2024-12-24",,"In Progress"
238,"HR Management Phase 2",2,"2025-07-26",,"On Hold"
239,"Marketing Dashboard v2.0",2,"2025-06-04",,"Planned"
240,"Marketing Portal Phase 2",5,"2024-08-07",,"In Progress"
241,"Payroll Integration",4,"2024-06-07",,"In Progress"
242,"Customer Platform Phase 2",1,"2025-09-24",,"On Hold"
243,"Employee Dashboard Beta",3,"2024-06-18",,"In Progress"
244,"Finance Integration Beta",6,"2025-03-30",,"In Progress"
245,"Employee Analysis v2.0",4,"2024-11-12",,"In Progress"
246,"HR Platform Phase 2",8,"2024-10-15",,"Planned"
247,"Sales Portal v2.0",4,"2024-09-13",,"In Progress"
248,"Customer Integration Beta",2,"2024-10-18","2024-11-08","Completed"
249,"AI Portal v2.0",3,"2024-04-03",,"Planned"
250,"HR Management Phase 2",1,"2024-02-24",,"Planned"
251,"Sales Management",7,"2025-01-18","2025-03-16","Completed"
252,"Sales Integration Beta",6,"2024-05-20",,"In Progress"
253,"Finance Dashboard",3,"2025-04-04",,"Planned"
254,"Customer Platform",1,"2024-08-08",,"On Hold"
255,"Payroll Dashboard Phase 2",5,"2024-11-04",,"In Progress"
256,"Payroll Portal Pilot",7,"2024-03-05",,"Planned"
257,"Inventory Platform",1,"2024-05-27",,"In Progress"
258,"HR System",6,"2025-08-07",,"In Progress"
259,"Data Dashboard Beta",6,"2025-06-22","2025-11-08","Completed"
260,"Inventory Dashboard v2.0",8,"2025-01-31","2025-05-06","Completed"
261,"Payroll Management Phase 2",2,"2024-09-03",,"On Hold"
262,"Marketing System Beta",1,"2025-07-13",,"On Hold"
263,"Payroll Portal",8,"2024-05-18",,"In Progress"
264,"AI Dashboard v2.0",5,"2024-02-14",,"In Progress"
265,"Employee Integration",5,"2025-07-10",,"Planned"
266,"Sales Management v2.0",4,"2024-12-31",,"On Hold"
267,"HR Portal Beta",2,"2025-03-23",,"On Hold"
268,"Employee Management Pilot",6,"2025-05-23",,"In Progress"
269,"HR System Pilot",5,"2025-03-10","2025-03-30","Completed"
270,"Payroll Management v2.0",5,"2024-04-15",,"On Hold"
271,"HR System Beta",5,"2025-09-09",,"Planned"
272,"Marketing Platform v2.0",6,"2024-02-13",,"Planned"
273,"Data System",1,"2025-02-19","2025-05-23","Completed"
274,"Customer Automation Phase 2",3,"2024-02-05",,"Planned"
275,"Finance Dashboard Pilot",6,"2025-01-27",,"On Hold"
276,"Marketing Portal",3,"2025-01-14",,"Planned"
277,"Marketing Integration Phase 2",3,"2025-02-11",,"On Hold"
278,"Data Platform Pilot",2,"2024-07-09","2024-11-13","Completed"
279,"Employee Analysis Pilot",2,"2024-09-23",,"On Hold"
280,"Payroll System",5,"2024-07-23",,"Planned"
281,"Payroll Management v2.0",8,"2025-03-31",,"In Progress"
282,"Customer System v2.0",2,"2024-11-03",,"On Hold"
283,"AI Portal",4,"2024-07-24","2024-08-28","Completed"
284,"Data System Pilot",6,"2025-04-23",,"On Hold"
285,"Employee Platform Beta",2,"2024-11-12","2025-02-21","Completed"
286,"Payroll Portal Beta",2,"2024-11-20",,"In Progress"
287,"Finance System Phase 2",6,"2025-07-18",,"In Progress"
288,"Customer Integration Phase 2",7,"2024-05-07","2024-09-16","Completed"
289,"Marketing Integration",3,"2024-08-18",,"On Hold"
290,"Inventory System v2.0",5,"2025-07-18",,"In Progress"
291,"Finance System Phase 2",2,"2025-08-29",,"In Progress"
292,"Sales Integration Phase 2",6,"2024-01-30","2024-02-19","Completed"
293,"Data Integration v2.0",7,"2025-05-24","2025-10-31","Completed"
294,"Inventory Portal",8,"2025-02-19",,"In Progress"
295,"HR Portal Beta",1,"2025-03-26",,"In Progress"
296,"Customer Management v2.0",4,"2025-09-13",,"On Hold"
297,"Marketing Automation v2.0",6,"2024-05-13",,"Planned"
298,"Inventory Portal Phase 2",4,"2024-05-05",,"Planned"
299,"HR Platform Phase 2",3,"2024-02-21","2024-05-05","Completed"
300,"Marketing Analysis Phase 2",3,"2025-08-14",,"On Hold"
301,"Inventory Portal",8,"2025-05-25",,"Planned"
302,"Employee Analysis Phase 2",2,"2025-06-01",,"Planned"
303,"Employee Portal v2.0",6,"2024-02-21","2024-05-03","Completed"
304,"Inventory Management Beta",1,"2025-03-17","2025-04-20","Completed"
305,"Finance Analysis v2.0",6,"2025-02-14","2025-02-27","Completed"
306,"Employee Integration Pilot",5,"2025-01-30","2025-06-08","Completed"
307,"HR Management v2.0",2,"2024-04-09",,"In Progress"
308,"Finance Platform Pilot",6,"2024-07-22",,"In Progress"
309,"Marketing Portal Pilot",1,"2024-02-09","2024-03-15","Completed"
310,"Data System v2.0",8,"2025-09-12",,"In Progress"
311,"Finance Integration Pilot",6,"2025-02-06",,"In Progress"
312,"Inventory Portal",6,"2025-07-30",,"Planned"
313,"HR Integration",6,"2024-04-22",,"On Hold"
314,"Finance Analysis",8,"2025-08-15",,"On Hold"
315,"Finance Platform Phase 2",8,"2025-06-20",,"In Progress"
316,"Payroll Analysis",4,"2025-08-09","2026-02-04","Completed"
317,"Customer Platform Phase 2",8,"2025-03-04",,"On Hold"
318,"Customer Analysis Pilot",7,"2024-03-04",,"Planned"
319,"HR Management Phase 2",6,"2025-06-22",,"Planned"
320,"Marketing Integration Pilot",8,"2025-07-13",,"On Hold"
321,"Inventory Integration Phase 2",8,"2024-09-09",,"In Progress"
322,"Employee Management Beta",5,"2024-07-31",,"On Hold"
323,"Payroll Platform Beta",6,"2024-10-21",,"On Hold"
324,"Sales Integration",6,"2024-10-24",,"In Progress"
325,"Employee Analysis Phase 2",6,"2024-09-19",,"Planned"
326,"Payroll Analysis Phase 2",5,"2024-05-20",,"On Hold"
327,"Sales Automation Beta",1,"2024-08-26",,"In Progress"
328,"Customer Dashboard Pilot",6,"2024-04-12",,"Planned"
329,"Employee Analysis v2.0",3,"2025-05-02",,"Planned"
330,"Payroll Analysis Pilot",6,"2024-03-01",,"On Hold"
331,"Customer Dashboard Beta",1,"2025-03-03",,"In Progress"
332,"Sales Dashboard v2.0",8,"2024-10-23",,"In Progress"
333,"Employee Portal Phase 2",2,"2024-10-18",,"On Hold"
334,"Payroll Management Phase 2",8,"2024-07-16",,"On Hold"
335,"Sales Management v2.0",8,"2024-07-09",,"On Hold"
336,"HR Platform Pilot",4,"2025-09-17",,"In Progress"
337,"Payroll System Phase 2",6,"2025-02-14","2025-08-04","Completed"
338,"Sales Integration Beta",8,"2024-09-11",,"On Hold"
339,"Marketing Integration Pilot",4,"2024-09-30",,"Planned"
340,"AI Dashboard",1,"2025-01-03",,"On Hold"
341,"HR Integration",8,"2024-06-12",,"On Hold"
342,"AI Analysis Phase 2",5,"2025-09-21",,"On Hold"
343,"Finance Management Beta",8,"2025-04-10",,"In Progress"
344,"Finance Automation Pilot",8,"2024-09-10",,"In Progress"
345,"Finance Automation",8,"2024-03-20",,"On Hold"
346,"Marketing Portal",4,"2024-06-17",,"In Progress"
347,"Data Portal",4,"2024-04-03",,"Planned"
348,"HR Portal Pilot",8,"2025-06-09",,"In Progress"
349,"Sales Platform v2.0",1,"2024-11-11",,"Planned"
350,"Payroll Dashboard Beta",1,"2025-08-15",,"In Progress"
351,"Payroll Portal",6,"2025-07-08","2025-07-23","Completed"
352,"Customer Platform v2.0",5,"2024-07-03",,"Planned"
