"project_id","project_name","project_lead","start_date","end_date","status"
353,"HR Automation Pilot",7,"2025-01-21",,"Planned"
354,"Customer Platform Pilot",3,"2024-05-01",,"On Hold"
355,"Sales Integration Beta",3,"2024-01-04",,"In Progress"
356,"AI Portal v2.0",7,"2024-08-23",,"Planned"
357,"Payroll Dashboard Beta",3,"2024-07-12",,"On Hold"
358,"Payroll Automation Pilot",1,"2024-07-30",,"In Progress"
359,"Sales Analysis",1,"2025-09-04",,"Planned"
360,"Data Analysis",7,"2024-08-27",,"Planned"
361,"Finance Management Pilot",3,"2024-08-27",,"On Hold"
362,"Customer Analysis Beta",6,"2024-11-05",,"In Progress"
363,"Data System Beta",5,"2024-03-03",,"On Hold"
364,"HR Management Beta",8,"2024-12-18","2025-05-31","Completed"
365,"HR System Pilot",7,"2024-11-03",,"In Progress"
366,"Inventory System Beta",8,"2024-08-18",,"In Progress"
367,"Data System Beta",1,"2025-03-02",,"Planned"
368,"Marketing Automation Beta",4,"2024-07-27",,"On Hold"
369,"Sales Integration Beta",6,"2025-07-02","2025-08-19","Completed"
370,"Data Analysis Beta",1,"2024-07-11","2024-12-08","Completed"
371,"Sales Analysis Phase 2",4,"2024-11-06",,"On Hold"
372,"Finance Analysis Beta",2,"2024-09-05",,"Planned"
373,"HR Portal Pilot",4,"2024-10-16",,"On Hold"
374,"Marketing Portal Beta",6,"2024-09-24",,"On Hold"
375,"AI Management v2.0",2,"2024-11-23",,"Planned"
376,"Customer Dashboard v2.0",7,"2025-07-30","2025-09-24","Completed"
377,"AI Management Phase 2",7,"2024-06-05",,"On Hold"
378,"Data Management v2.0",7,"2025-05-26",,"In Progress"
379,"Customer Management Phase 2",8,"2025-04-16",,"Planned"
380,"Data Dashboard Pilot",3,"2024-07-07",,"Planned"
381,"HR System Phase 2",1,"2024-02-19","2024-02-20","Completed"
382,"AI Portal v2.0",2,"2024-01-10",,"In Progress"
383,"Sales Dashboard Pilot",1,"2025-05-14",,"Planned"
384,"Inventory Integration",7,"2024-01-18","2024-06-01","Completed"
385,"Payroll System Phase 2",7,"2024-04-19",,"In Progress"
386,"Inventory Platform",4,"2024-12-28",,"On Hold"
387,"Finance Analysis Phase 2",6,"2025-04-15",,"Planned"
388,"HR Platform Beta",5,"2024-02-02","2024-02-25","Completed"
389,"Customer Automation Beta",8,"2024-01-10","2024-07-07","Completed"
390,"Payroll Dashboard Phase 2",7,"2025-08-02",,"On Hold"
391,"Sales Automation v2.0",4,"2024-10-04",,"Planned"
392,"Sales Analysis Pilot",1,"2024-11-18",,"In Progress"
393,"Inventory System Pilot",3,"2024-03-19",,"Planned"
394,"Marketing Platform Phase 2",4,"2025-07-07",,"Planned"
395,"Payroll Platform Phase 2",2,"2024-02-24",,"On Hold"
396,"Finance Platform v2.0",2,"2025-09-11",,"On Hold"
397,"Employee Analysis v2.0",1,"2025-04-06",,"On Hold"
398,"Finance Platform",7,"2024-07-09",,"Planned"
399,"Payroll Integration Phase 2",5,"2024-03-16",,"In Progress"
400,"Marketing Management",7,"2025-02-02",,"In Progress"
401,"Marketing Integration",2,"2024-11-11","2025-03-04","Completed"
402,"Employee Platform",3,"2024-07-10","2024-10-28","Completed"
403,"Payroll Management Beta",1,"2024-12-28","2025-05-18","Completed"
404,"HR Automation Pilot",1,"2025-02-27",,"On Hold"
405,"Customer System v2.0",4,"2025-01-24",,"In Progress"
406,"Customer Automation Phase 2",5,"2025-05-19",,"On Hold"
407,"Inventory Portal",7,"2025-03-07",,"On Hold"
408,"Employee Analysis Beta",6,"2024-09-09",,"On Hold"
409,"Sales Platform v2.0",2,"2024-11-07",,"In Progress"
410,"Marketing Platform Pilot",7,"2025-03-26",,"On Hold"
411,"Finance Analysis Beta",3,"2024-11-24",,"On Hold"
412,"Marketing Integration Beta",6,"2025-02-11",,"In Progress"
413,"Inventory Platform v2.0",4,"2025-01-20",,"On Hold"
414,"Data System Pilot",2,"2025-08-29",,"In Progress"
415,"Employee Integration",1,"2024-08-02",,"Planned"
416,"Inventory Analysis v2.0",7,"2024-05-22",,"Planned"
417,"Payroll Portal Pilot",3,"2025-01-21",,"Planned"
418,"Data Platform Pilot",8,"2025-07-01",,"Planned"
419,"Finance Automation",1,"2025-07-03",,"On Hold"
420,"Finance Dashboard Pilot",4,"2024-06-19",,"On Hold"
421,"Payroll Dashboard",7,"2025-03-16",,"On Hold"
422,"Data Analysis Beta",5,"2025-06-06",,"In Progress"
423,"Finance System v2.0",6,"2025-04-19",,"Planned"
424,"Inventory Platform",1,"2024-04-17",,"Planned"
425,"Inventory Management Beta",2,"2024-12-22",,"In Progress"
426,"Employee Automation Beta",4,"2024-12-22",,"Planned"
427,"Inventory Dashboard",8,"2024-03-09",,"On Hold"
428,"Customer Analysis Pilot",1,"2024-04-21",,"On Hold"
429,"Data Platform Beta",3,"2024-12-04",,"In Progress"
430,"Customer Platform Beta",4,"2024-07-07",,"Planned"
431,"Finance Platform Beta",1,"2025-04-05",,"In Progress"
432,"Inventory Automation Pilot",1,"2024-07-29",,"In Progress"
433,"Marketing Analysis Beta",2,"2025-01-09",,"In Progress"
434,"Data Management Pilot",2,"2025-05-16",,"On Hold"
435,"Payroll Management v2.0",7,"2025-08-24",,"Planned"
436,"Finance Automation Phase 2",8,"2024-10-31",,"In Progress"
437,"Payroll System v2.0",6,"2024-09-01","2024-11-18","Completed"
438,"Finance System Pilot",3,"2025-03-04",,"Planned"
439,"Employee System Pilot",7,"2024-07-09",,"Planned"
440,"Customer System v2.0",3,"2024-10-22",,"Planned"
441,"Employee System Phase 2",8,"2025-01-02","2025-01-04","Completed"
442,"Employee Platform Beta",7,"2025-02-22",,"Planned"
443,"Finance Dashboard Phase 2",8,"2024-03-25",,"In Progress"
444,"Data Integration Phase 2",5,"2024-10-08","2024-12-04","Completed"
445,"Data Automation Pilot",8,"2025-07-16",,"Planned"
446,"Marketing Dashboard Beta",2,"2025-07-10",,"On Hold"
447,"AI Integration",4,"2024-04-14",,"Planned"
448,"Payroll Portal",8,"2024-12-22",,"On Hold"
449,"Marketing Platform Phase 2",4,"2025-08-25",,"In Progress"
450,"Sales Management Pilot",3,"2024-07-30",,"In Progress"
451,"Inventory Integration Pilot",5,"2024-11-27",,"In Progress"
452,"Sales Integration Phase 2",5,"2024-05-18","2024-08-31","Completed"
453,"Marketing Analysis Beta",3,"2024-05-29",,"In Progress"
454,"Inventory Platform Beta",8,"2025-08-14",,"In Progress"
455,"Data Integration v2.0",8,"2024-04-05","2024-07-17","Completed"
456,"Finance Dashboard",8,"2024-12-01",,"Planned"
457,"Data Platform Phase 2",8,"2024-03-05",,"On Hold"
458,"Inventory Management v2.0",7,"2025-05-21",,"In Progress"
459,"Employee Management",6,"2025-08-02",,"In Progress"
460,"Payroll System Beta",1,"2025-04-15","2025-04-19","Completed"
461,"Customer Integration Phase 2",8,"2025-03-14","2025-05-04","Completed"
462,"Payroll Management Phase 2",5,"2025-01-04","2025-03-09","Completed"
463,"AI Platform",1,"2024-11-08",,"Planned"
464,"Payroll System Pilot",2,"2024-08-06","2024-12-06","Completed"
465,"Sales Management",4,"2024-01-10",,"Planned"
466,"Payroll Analysis Beta",7,"2025-05-04",,"In Progress"
467,"Marketing Integration Phase 2",2,"2024-04-15","2024-07-04","Completed"
468,"Payroll Dashboard Pilot",7,"2024-05-26",,"In Progress"
469,"AI System Beta",3,"2024-12-25",,"Planned"
470,"Payroll System",8,"2024-03-29",,"In Progress"
471,"Marketing System Phase 2",7,"2025-03-15",,"On Hold"
472,"Finance Integration",5,"2024-09-11","2025-01-30","Completed"
473,"Finance Analysis Beta",5,"2025-06-14",,"In Progress"
474,"HR Automation Phase 2",5,"2024-09-02","2025-01-06","Completed"
475,"Marketing Management Phase 2",8,"2025-06-24","2025-06-27","Completed"
476,"Data System Beta",7,"2025-01-09",,"Planned"
477,"Sales Integration Phase 2",2,"2025-08-24","2025-09-10","Completed"
478,"Inventory Platform Beta",1,"2025-02-11","2025-06-20","Completed"
479,"Finance System v2.0",7,"2025-07-03","2025-11-17","Completed"
480,"Data Analysis Phase 2",2,"2024-03-21",,"On Hold"
481,"Payroll Integration Beta",6,"2025-08-23",,"Planned"
482,"HR Automation Beta",4,"2024-09-07","2024-09-29","Completed"
483,"Payroll Dashboard Phase 2",1,"2024-06-28",,"On Hold"
484,"Marketing Integration Phase 2",1,"2025-05-23",,"In Progress"
485,"Payroll Dashboard v2.0",6,"2024-10-02",,"In Progress"
486,"Payroll Integration Pilot",7,"2025-06-20",,"On Hold"
487,"Data Management",2,"2025-04-11",,"Planned"
488,"Customer Integration",8,"2025-01-11",,"In Progress"
489,"Sales Dashboard",2,"2025-06-05",,"In Progress"
490,"HR System Phase 2",4,"2025-04-28","2025-07-30","Completed"
491,"Marketing Analysis Beta",1,"2024-08-17",,"Planned"
492,"Finance Management",6,"2024-03-20",,"On Hold"
493,"Data Dashboard Beta",1,"2024-08-16",,"In Progress"
494,"Inventory Management",2,"2024-10-16",,"Planned"
495,"Inventory Integration Pilot",8,"2025-01-12","2025-03-04","Completed"
496,"Finance Portal Phase 2",4,"2025-01-12",,"Planned"
497,"HR Dashboard Phase 2",4,"2024-01-07",,"In Progress"
498,"HR Integration",6,"2024-12-09","2024-12-09","Completed"
499,"Employee Dashboard Phase 2",4,"2025-03-05",,"In Progress"
500,"Data Platform v2.0",5,"2024-02-14","2024-04-13","Completed"
501,"Data System Beta",8,"2025-08-17","2025-09-10","Completed"
502,"Customer Analysis v2.0",2,"2025-03-21","2025-09-06","Completed"
503,"Marketing Management Beta",5,"2025-02-06",,"On Hold"
504,"AI System Pilot",5,"2024-03-17",,"In Progress"
505,"Customer Portal Beta",2,"2024-04-18",,"In Progress"
506,"Data Management Phase 2",6,"2024-05-03",,"Planned"
507,"Inventory Automation",8,"2025-04-19",,"On Hold"
508,"Sales Analysis v2.0",3,"2025-09-09",,"On Hold"
509,"HR Dashboard v2.0",3,"2024-09-11","2024-12-11","Completed"
510,"HR Portal Pilot",5,"2024-02-01",,"In Progress"
511,"Customer Automation",4,"2025-04-18","2025-05-14","Completed"
512,"AI Platform v2.0",1,"2024-05-13",,"In Progress"
513,"Sales Automation Phase 2",2,"2024-03-17",,"On Hold"
514,"Marketing Automation",8,"2024-04-04",,"In Progress"
515,"HR Platform Beta",8,"2024-06-21","2024-11-14","Completed"
516,"Customer Management Phase 2",1,"2025-03-12",,"Planned"
517,"Employee System",3,"2024-10-13",,"On Hold"
518,"HR Portal",4,"2025-05-25",,"On Hold"
519,"Customer Platform Phase 2",2,"2025-01-27",,"On Hold"
520,"Employee Portal v2.0",4,"2025-01-26","2025-04-27","Completed"
521,"Customer Dashboard v2.0",6,"2024-10-03",,"Planned"
522,"Employee Management Pilot",4,"2024-10-14","2024-10-28","Completed"
523,"AI Analysis v2.0",4,"2024-04-12",,"In Progress"
524,"HR Management Phase 2",1,"2025-08-12",,"In Progress"
525,"Marketing Management Pilot",3,"2025-08-29",,"In Progress"
526,"Finance System Pilot",1,"2025-08-04",,"On Hold"
527,"Inventory System Beta",4,"2025-07-09",,"Planned"
528,"Finance Analysis",1,"2024-02-27","2024-04-26","Completed"
529,"AI System v2.0",8,"2024-12-05","2025-05-11","Completed"
530,"Sales System Pilot",3,"2024-03-01",,"On Hold"
531,"Payroll Management Beta",3,"2025-06-22","2025-09-23","Completed"
532,"Marketing System Phase 2",2,"2024-11-05",,"On Hold"
533,"Customer Management Phase 2",7,"2024-11-20",,"Planned"
534,"Inventory System Phase 2",3,"2024-11-10",,"Planned"
535,"Sales System Pilot",1,"2025-08-04",,"Planned"
536,"Payroll Portal Phase 2",6,"2025-08-02",,"In Progress"
537,"Marketing System",6,"2024-08-31","2024-11-27","Completed"
538,"Inventory Analysis Phase 2",6,"2024-01-12",,"Planned"
539,"Payroll Dashboard",2,"2024-09-19",,"On Hold"
540,"Customer Platform Beta",7,"2025-03-05",,"Planned"
541,"HR Automation Beta",7,"2025-07-13",,"On Hold"
542,"Payroll Dashboard v2.0",4,"2025-04-07",,"In Progress"
543,"Payroll Automation v2.0",1,"2024-09-24",,"On Hold"
544,"Payroll Automation v2.0",3,"2024-06-13",,"Planned"
545,"Customer Platform Phase 2",8,"2025-03-17","2025-08-31","Completed"
546,"AI Platform Pilot",1,"2024-12-05","2025-01-26","Completed"
547,"AI Automation",5,"2024-10-31",,"On Hold"
548,"Sales Management",7,"2024-06-06",,"Planned"
549,"Finance Portal Phase 2",7,"2024-10-28","2025-04-15","Completed"
550,"Inventory Automation Beta",2,"2024-07-30","2024-09-11","Completed"
551,"Employee Portal v2.0",2,"2025-02-11",,"On Hold"
552,"Marketing Platform v2.0",2,"2024-07-08",,"Planned"
553,"Inventory Portal Beta",3,"2024-02-15",,"Planned"
554,"Finance Dashboard Phase 2",5,"2024-10-02",,"In Progress"
555,"HR Analysis Pilot",2,"2024-12-18","2025-05-05","Completed"
556,"HR Portal Pilot",1,"2025-06-19",,"Planned"
557,"Payroll Platform",4,"2024-11-02",,"Planned"
558,"Customer Analysis Phase 2",3,"2025-04-04","2025-05-18","Completed"
559,"HR Analysis Phase 2",3,"2025-03-09","2025-03-29","Completed"
560,"Payroll Platform Pilot",5,"2024-03-09",,"On Hold"
561,"Data Portal",7,"2024-10-09",,"On Hold"
562,"Customer Automation",7,"2025-02-28","2025-04-07","Completed"
563,"Marketing Platform v2.0",2,"2025-07-02",,"On Hold"
564,"Finance Portal",7,"2025-08-08",,"Planned"
565,"Customer Platform",3,"2025-02-16",,"On Hold"
566,"Sales Portal v2.0",7,"2024-08-31",,"On Hold"
567,"Inventory Integration Beta",6,"2024-12-11","2025-02-26","Completed"
568,"Inventory Portal v2.0",2,"2024-05-17",,"In Progress"
569,"Payroll Analysis Beta",5,"2025-09-11",,"Planned"
570,"Data Management",4,"2025-05-11",,"Planned"
571,"HR System Pilot",3,"2024-11-14","2025-03-23","Completed"
572,"AI Dashboard Phase 2",1,"2024-07-16",,"In Progress"
573,"Marketing Analysis v2.0",1,"2024-02-21",,"Planned"
574,"HR Automation",6,"2025-06-01",,"Planned"
575,"Finance Portal Phase 2",4,"2025-05-15",,"On Hold"
576,"Customer Integration",8,"2024-12-18",,"On Hold"
577,"Customer Analysis Phase 2",5,"2025-01-30","2025-02-11","Completed"
578,"HR Dashboard",4,"2024-10-02",,"In Progress"
579,"Finance Dashboard Phase 2",8,"2024-06-26",,"In Progress"
580,"HR Platform v2.0",5,"2024-10-08",,"On Hold"
581,"Employee Integration Pilot",8,"2024-08-11",,"On Hold"
582,"Marketing Integration v2.0",7,"2024-01-08","2024-05-17","Completed"
583,"Marketing Integration v2.0",2,"2024-03-06",,"Planned"
584,"AI System Pilot",5,"2024-11-01",,"On Hold"
585,"Marketing System",4,"2025-09-06","2025-12-18","Completed"
586,"HR Platform Beta",8,"2024-09-22",,"On Hold"
587,"AI Portal v2.0",1,"2024-12-17",,"In Progress"
588,"Customer Integration",5,"2025-07-25",,"In Progress"
589,"Data System v2.0",8,"2024-09-21",,"In Progress"
590,"AI Integration Beta",2,"2024-12-29",,"In Progress"
591,"Finance Integration Beta",6,"2024-09-23",,"On Hold"
592,"Finance Automation Beta",2,"2024-02-24",,"Planned"
593,"Inventory Platform",4,"2025-01-25","2025-06-09","Completed"
594,"Marketing Platform Pilot",3,"2024-07-24",,"In Progress"
595,"Customer Automation Beta",8,"2024-11-19",,"In Progress"
596,"Sales Dashboard Beta",6,"2024-11-16",,"In Progress"
597,"Finance System Beta",5,"2024-06-21",,"In Progress"
598,"HR Platform Beta",2,"2025-09-21",,"In Progress"
599,"Sales Dashboard Pilot",7,"2025-01-27",,"Planned"
600,"Marketing Analysis",4,"2024-01-15",,"On Hold"
601,"Marketing Integration Phase 2",1,"2024-08-19",,"In Progress"
602,"Finance Integration Phase 2",2,"2025-05-30",,"Planned"
603,"Employee Management Beta",2,"2024-11-01","2025-01-14","Completed"
604,"Marketing Analysis Phase 2",3,"2025-05-16",,"On Hold"
605,"Customer Analysis",7,"2024-08-21","2024-10-17","Completed"
606,"Sales Platform v2.0",3,"2025-01-10","2025-06-25","Completed"
607,"Sales Dashboard",1,"2024-04-20","2024-10-04","Completed"
608,"Payroll Integration Beta",7,"2025-01-24",,"Planned"
609,"Inventory Platform",3,"2024-01-10",,"In Progress"
610,"Payroll Automation v2.0",5,"2025-03-04",,"In Progress"
611,"Finance Analysis v2.0",2,"2025-05-24","2025-07-13","Completed"
612,"Inventory System",4,"2025-02-23",,"On Hold"
613,"Marketing Analysis",8,"2025-05-07",,"In Progress"
614,"Employee System",1,"2024-04-23","2024-09-16","Completed"
615,"AI Portal v2.0",2,"2024-09-19","2025-03-02","Completed"
616,"Payroll System",5,"2024-02-21",,"Planned"
617,"HR Automation",5,"2024-11-16",,"On Hold"
618,"Customer Management v2.0",1,"2024-05-21","2024-11-06","Completed"
619,"Marketing Management Phase 2",8,"2024-04-05",,"On Hold"
620,"Employee Integration Beta",2,"2025-02-13",,"Planned"
621,"Payroll System",8,"2024-06-19",,"Planned"
622,"Employee Portal Phase 2",3,"2025-03-02","2025-07-31","Completed"
623,"Sales System Beta",7,"2025-09-18",,"On Hold"
624,"Sales Automation v2.0",8,"2025-02-25","2025-06-17","Completed"
625,"Finance Analysis v2.0",6,"2025-06-21","2025-11-15","Completed"
626,"Employee Management Beta",2,"2024-09-11",,"Planned"
627,"Customer Portal Beta",3,"2024-01-12","2024-06-24","Completed"
628,"AI Management v2.0",3,"2025-05-18","2025-08-08","Completed"
629,"HR Platform Phase 2",1,"2025-07-17",,"In Progress"
630,"Finance Portal",2,"2025-03-30",,"Planned"
631,"Payroll Portal",8,"2024-11-19",,"Planned"
632,"Sales Dashboard",2,"2025-02-26",,"Planned"
633,"Marketing Management",5,"2025-04-12",,"In Progress"
634,"Data Portal v2.0",4,"2024-12-05",,"Planned"
635,"AI Dashboard v2.0",8,"2024-04-09","2024-09-24","Completed"
636,"Data Management",6,"2025-07-14",,"On Hold"
637,"Customer Platform",1,"2025-05-19",,"In Progress"
638,"Payroll Platform Phase 2",5,"2024-07-11",,"In Progress"
639,"Payroll Platform",8,"2024-12-12",,"In Progress"
640,"Finance System Beta",2,"2025-04-13",,"Planned"
641,"Finance Portal Pilot",1,"2025-07-20","2025-11-07","Completed"
642,"Payroll Platform Pilot",3,"2024-05-11",,"In Progress"
643,"Finance Analysis v2.0",6,"2025-03-04",,"Planned"
644,"Employee System Phase 2",7,"2024-10-28",,"On Hold"
645,"Marketing Analysis Phase 2",7,"2025-07-14",,"On Hold"
646,"Customer System Pilot",4,"2024-12-19",,"On Hold"
647,"Employee Platform Pilot",6,"2024-12-26","2025-05-18","Completed"
648,"Data Automation",5,"2024-01-14",,"Planned"
649,"Sales Analysis v2.0",7,"2024-02-24",,"In Progress"
650,"Customer Dashboard v2.0",3,"2024-09-13",,"On Hold"
651,"Payroll Analysis Pilot",4,"2025-01-02","2025-04-27","Completed"
652,"Inventory Dashboard Beta",7,"2025-06-07",,"In Progress"
653,"Data Dashboard",7,"2024-11-16",,"Planned"
654,"Employee Analysis v2.0",5,"2025-09-27",,"In Progress"
655,"Employee System",4,"2024-10-28",,"In Progress"
656,"Payroll Platform",3,"2025-06-10",,"In Progress"
657,"Inventory System Phase 2",7,"2025-07-23",,"On Hold"
658,"Customer Dashboard Phase 2",5,"2024-12-04","2025-04-02","Completed"
659,"Inventory Portal Pilot",6,"2025-09-22","2026-03-10","Completed"
660,"AI System Pilot",6,"2024-11-21","2025-04-04","Completed"
661,"Data Platform",2,"2025-03-01",,"In Progress"
662,"Marketing Management v2.0",6,"2024-08-06",,"In Progress"
663,"Data Portal Pilot",5,"2025-09-25",,"In Progress"
664,"AI Analysis",1,"2024-12-20","2025-04-13","Completed"
665,"HR Integration Pilot",6,"2024-04-26",,"Planned"
666,"Data Portal Beta",5,"2025-06-13","2025-09-16","Completed"
667,"Marketing Automation",1,"2024-07-16",,"On Hold"
668,"AI Platform",3,"2024-03-08","2024-04-30","Completed"
669,"Customer Dashboard Beta",4,"2024-03-14",,"Planned"
670,"Sales System v2.0",6,"2024-03-30","2024-04-17","Completed"
671,"HR Platform Beta",2,"2024-09-21",,"In Progress"
672,"Sales Platform",7,"2024-11-19",,"Planned"
673,"Payroll Management Pilot",1,"2025-08-22","2025-09-02","Completed"
674,"Finance Automation v2.0",2,"2024-11-04",,"On Hold"
675,"Sales Portal Phase 2",8,"2025-02-08",,"Planned"
676,"Data Integration Phase 2",4,"2025-02-04",,"In Progress"
677,"Data System",5,"2024-01-12",,"On Hold"
678,"HR Automation v2.0",1,"2025-08-09","2026-01-08","Completed"
679,"HR System Phase 2",4,"2024-08-04",,"On Hold"
680,"Inventory Analysis",3,"2025-09-23",,"In Progress"
681,"Data Automation v2.0",3,"2025-07-16","2025-11-11","Completed"
682,"AI Portal v2.0",2,"2024-04-10",,"On Hold"
683,"Payroll Integration Pilot",6,"2024-08-28",,"In Progress"
684,"Employee Portal v2.0",2,"2024-11-21",,"In Progress"
685,"Finance Management v2.0",5,"2025-08-02",,"In Progress"
686,"Marketing Analysis Phase 2",7,"2024-01-05",,"In Progress"
687,"Customer Management Beta",7,"2025-01-03",,"On Hold"
688,"Inventory Portal Pilot",8,"2025-01-02",,"Planned"
689,"Payroll Integration Phase 2",2,"2025-09-13",,"In Progress"
690,"Payroll Dashboard Pilot",4,"2024-03-19",,"On Hold"
691,"AI Dashboard Pilot",1,"2025-08-27",,"Planned"
692,"Marketing Platform Phase 2",5,"2024-06-01",,"Planned"
693,"Data Automation Beta",5,"2025-04-20",,"In Progress"
694,"Customer System Beta",6,"2024-09-01","2025-02-05","Completed"
695,"Finance System Beta",3,"2025-08-02",,"In Progress"
696,"AI Automation v2.0",6,"2024-08-12","2024-12-14","Completed"
697,"AI Management Beta",6,"2024-02-13",,"In Progress"
698,"Sales Management",8,"2024-02-17",,"Planned"
699,"Data System Beta",5,"2025-08-15",,"On Hold"
700,"Payroll Integration Beta",7,"2025-08-24",,"On Hold"